GO_ID,Label,Tree_Depth,Branching_Factor,Subtree_Size_k,Is_Leaf,Global_Children_Count,Global_Descendant_Count,Subtree_Proportion_of_Total,hyperbolic_r,r_2d,theta
GO:0020022,acidocalcisome,1,0,1,True,2,2,0.02703,9.357261718500713,0.146423630420042,2.6998419464814734
GO:0044222,anammoxosome,1,0,1,True,0,0,0.02703,9.442128944379109,0.13453311708189372,2.7369037411853054
GO:0033099,attachment organelle,1,0,1,True,1,1,0.02703,8.791766147029014,0.1516261980413626,2.587025817049477
GO:0005801,cis-Golgi network,1,0,1,True,1,4,0.02703,6.2042956097516235,0.20110626119295832,-0.938403734671309
GO:0005783,endoplasmic reticulum,1,0,1,True,12,100,0.02703,3.314796536292332,0.6518876021871233,-0.9003385747194074
GO:0005793,endoplasmic reticulum-Golgi intermediate compartment,1,0,1,True,2,2,0.02703,6.080795760405903,0.3665149611344893,-1.567303352110034
GO:0042735,endosperm protein body,1,0,1,True,0,0,0.02703,9.337457099139389,0.15903060243387593,2.6696757665743984
GO:0010168,ER body,1,0,1,True,0,0,0.02703,9.225299786318434,0.1627698093736154,2.6048050260436
GO:0044311,exoneme,1,0,1,True,0,0,0.02703,9.186416615263061,0.13891885681784344,2.6852727962348726
GO:1990413,eyespot apparatus,1,0,1,True,0,0,0.02703,9.005278296580784,0.14013068068465814,2.5725894631368518
GO:0160208,fibrous body-membranous organelle,1,0,1,True,0,0,0.02703,,,
GO:0005794,Golgi apparatus,1,0,1,True,16,48,0.02703,3.3854422630888705,0.5325358158956014,-1.258941651030783
GO:0042566,hydrogenosome,1,0,1,True,2,2,0.02703,9.440167045368854,0.14485672946538045,2.740675978761161
GO:0043231,intracellular membrane-bounded organelle,0,36,37,False,36,1203,1.0,3.6030262658390537,0.5061675283990545,-0.8606754760165877
GO:0097708,intracellular vesicle,1,0,1,True,5,276,0.02703,10.53564772468889,0.14360223233325461,2.749440215537313
GO:0061468,karyomere,1,0,1,True,0,0,0.02703,9.202745439893098,0.15778144341031392,2.664812611479571
GO:0110143,magnetosome,1,0,1,True,2,2,0.02703,,,
GO:0044227,methane-oxidizing organelle,1,0,1,True,0,0,0.02703,9.358295089126527,0.12628590121733796,2.7072336972323416
GO:0042579,microbody,1,0,1,True,4,20,0.02703,8.911570785804694,0.14450876756865522,2.7261277281321545
GO:0020009,microneme,1,0,1,True,2,2,0.02703,9.008621020743856,0.14074421882121382,2.682461862018086
GO:0140494,migrasome,1,0,1,True,0,0,0.02703,,,
GO:0016007,mitochondrial derivative,1,0,1,True,3,3,0.02703,9.759188357257912,0.13873911608737236,2.719942079951516
GO:0005739,mitochondrion,1,0,1,True,5,70,0.02703,3.148026533705722,0.91726520394065,-0.2291251183763434
GO:0032047,mitosome,1,0,1,True,0,0,0.02703,9.37637844649191,0.15356188812491953,2.7138369890762566
GO:0070074,mononeme,1,0,1,True,0,0,0.02703,9.237873621227003,0.13844566646656067,2.683169107349264
GO:0033009,nucleomorph,1,0,1,True,0,0,0.02703,10.790193805131135,0.15119293249428659,2.7012128308285934
GO:0005634,nucleus,1,0,1,True,21,468,0.02703,2.5975203134554112,1.4735965168278573,0.42898621042137597
GO:0097693,ocelloid,1,0,1,True,0,0,0.02703,10.276373483168868,0.14681213994418546,2.7326985155776704
GO:1990462,omegasome,1,0,1,True,1,2,0.02703,10.323443515870347,0.14638958311645653,2.743509214994806
GO:0044223,pirellulosome,1,0,1,True,0,0,0.02703,9.49859937003134,0.14220020614747042,2.6862451974875543
GO:0009536,plastid,1,0,1,True,19,122,0.02703,7.727188112505983,0.1481305681416201,2.7101887510547695
GO:0031094,platelet dense tubular network,1,0,1,True,2,2,0.02703,9.553335300049556,0.12446282708961674,2.8387499473157547
GO:0160201,polaroplast,1,0,1,True,0,0,0.02703,,,
GO:0070088,polyhydroxyalkanoate granule,1,0,1,True,0,0,0.02703,9.266471125796036,0.13200781713819573,2.7186627047545175
GO:0071212,subsynaptic reticulum,1,0,1,True,0,0,0.02703,10.764770154614002,0.13971214069644322,2.8038163007904013
GO:0160045,TMEM240-body,1,0,1,True,0,0,0.02703,,,
GO:0005773,vacuole,1,0,1,True,10,78,0.02703,8.089836660704012,0.1449833176646164,2.7387035672287734