r,theta,organelle
3.6030262658390537,-0.8606754760165877,intracellular membrane-bounded organelles
10.276373483168868,2.7326985155776704,ocelloid
9.357261718500713,2.6998419464814734,acidocalcisome
9.442128944379109,2.736903741185305,anammoxosome
8.791766147029014,2.587025817049477,attachment organe
6.204295609751624,-0.938403734671309,cis-Golgi network
3.314796536292332,-0.9003385747194074,endoplasmic reticulum
6.080795760405903,-1.567303352110034,endoplasmic reticulum-Golgi intermediate compartment
9.337457099139389,2.6696757665743984,endosperm protein body
9.225299786318434,2.6048050260436,ER body
9.18641661526306,2.6852727962348726,exoneme
9.005278296580784,2.572589463136852,eyespot apparat
3.3854422630888705,-1.258941651030783,Golgi apparatus
9.440167045368854,2.740675978761161,hydrogenosome
10.53564772468889,2.749440215537313,intracellular vesicle
9.202745439893098,2.664812611479571,karyomere
9.358295089126528,2.7072336972323416,methane-oxidizing organelle
8.911570785804694,2.7261277281321545,microbody
9.008621020743856,2.682461862018086,microneme
9.759188357257912,2.719942079951516,mitochondrial derivative
3.148026533705722,-0.2291251183763434,mitochondrion
9.37637844649191,2.7138369890762566,mitosome
9.237873621227005,2.683169107349264,mononeme
10.790193805131135,2.701212830828593,nucleomorph
2.5975203134554112,0.4289862104213759,nucleus
10.323443515870348,2.743509214994806,omegasome
9.49859937003134,2.6862451974875543,pirellulosome
7.727188112505983,2.710188751054769,plastid
9.553335300049556,2.8387499473157547,platelet dense tubular network
9.266471125796036,2.718662704754517,polyhydroxyalkanoate granule
10.764770154614002,2.8038163007904013,subsynaptic reticulum
8.089836660704012,2.7387035672287734,vacuole
,,
,,